<TICKER>,<SECTOR>,<INDUSTRY>
PWR.US,Industrials,Engineering & Construction
KRUS.US,Consumer Cyclical,Restaurants
LWLG.US,Basic Materials,Specialty Chemicals
STEM.US,Technology,Software—Infrastructure
UHAL.US,Industrials,Rental & Leasing Services
CODI_C.US,NA,NA
AEI.US,Real Estate,Real Estate—Development
LTC.US,Real Estate,REIT—Healthcare Facilities
MGPI.US,Consumer Defensive,Beverages—Wineries & Distilleries
MAX.US,Communication Services,Internet Content & Information
CCEP.US,Consumer Defensive,Beverages—Non-Alcoholic
MTX.US,Basic Materials,Specialty Chemicals
ACB.US,Healthcare,Drug Manufacturers—Specialty & Generic
PIPR.US,Financial Services,Capital Markets
PHIO.US,Healthcare,Biotechnology
DBD.US,Technology,Software—Application
ARCT.US,Healthcare,Biotechnology
HES.US,Energy,Oil & Gas E&P
MKC-V.US,Consumer Defensive,Packaged Foods
CVE.US,Energy,Oil & Gas Integrated
MTDR.US,Energy,Oil & Gas E&P
CMRE_C.US,NA,NA
PPG.US,Basic Materials,Specialty Chemicals
MA.US,Financial Services,Credit Services
PBPB.US,Consumer Cyclical,Restaurants
WWD.US,Industrials,Aerospace & Defense
ZYNE.US,Healthcare,Drug Manufacturers—Specialty & Generic
SNEX.US,Financial Services,Capital Markets
LKQ.US,Consumer Cyclical,Auto Parts
HCA.US,Healthcare,Medical Care Facilities
NSPR.US,Healthcare,Medical Devices
JBSS.US,Consumer Defensive,Packaged Foods
RVLV.US,Consumer Cyclical,Internet Retail
DJCO.US,Technology,Software—Application
VERI.US,Technology,Software—Infrastructure
BLPH.US,Healthcare,Biotechnology
CDW.US,Technology,Information Technology Services
CPOP.US,Communication Services,Entertainment
HEPA.US,Healthcare,Biotechnology
SONO.US,Technology,Consumer Electronics
NXGN.US,Healthcare,Health Information Services
DDT.US,NA,NA
RBA.US,Industrials,Specialty Business Services
DEA.US,Real Estate,REIT—Office
ASUR.US,Technology,Software—Application
AXS_E.US,NA,NA
PFGC.US,Consumer Defensive,Food Distribution
SQ.US,Technology,Software—Infrastructure
STTK.US,Healthcare,Biotechnology
BNTX.US,Healthcare,Biotechnology
RVYL.US,Technology,Software—Infrastructure
DTW.US,NA,NA
PRIM.US,Industrials,Engineering & Construction
PETQ.US,Healthcare,Drug Manufacturers—Specialty & Generic
CGEM.US,Healthcare,Biotechnology
QRTEB.US,Consumer Cyclical,Internet Retail
S.US,Technology,Software—Infrastructure
EIG.US,Financial Services,Insurance—Specialty
LBRT.US,Energy,Oil & Gas Equipment & Services
FTV.US,Technology,Scientific & Technical Instruments
INFN.US,Technology,Communication Equipment
WHLRD.US,Real Estate,REIT—Retail
GRND.US,Technology,Software—Application
BODY.US,Communication Services,Internet Content & Information
EVA.US,Basic Materials,Lumber & Wood Production
COCP.US,Healthcare,Biotechnology
PRGO.US,Healthcare,Drug Manufacturers—Specialty & Generic
LECO.US,Industrials,Tools & Accessories
UPBD.US,Technology,Software—Application
BROS.US,Consumer Cyclical,Restaurants
BNGO.US,Healthcare,Medical Instruments & Supplies
TMHC.US,Consumer Cyclical,Residential Construction
SYY.US,Consumer Defensive,Food Distribution
MAS.US,Industrials,Building Products & Equipment
ASTE.US,Industrials,Farm & Heavy Construction Machinery
HCSG.US,Healthcare,Medical Care Facilities
OPRT.US,Financial Services,Credit Services
STR.US,Energy,Oil & Gas E&P
UIS.US,Technology,Information Technology Services
SLB.US,Energy,Oil & Gas Equipment & Services
NMTR.US,Healthcare,Biotechnology
CUE.US,Healthcare,Biotechnology
PLTK.US,Communication Services,Electronic Gaming & Multimedia
BLK.US,Financial Services,Asset Management
VSEC.US,Industrials,Aerospace & Defense
BTF.US,NA,NA
SINT.US,Healthcare,Medical Devices
CNTB.US,Healthcare,Biotechnology
SONN.US,Healthcare,Biotechnology
GEGGL.US,NA,NA
AYRO.US,Consumer Cyclical,Auto Manufacturers
IIIN.US,Industrials,Metal Fabrication
TNXP.US,Healthcare,Biotechnology
ESI.US,Basic Materials,Specialty Chemicals
VVNT.US,Industrials,Security & Protection Services
KAL.US,Consumer Defensive,Farm Products
RILYN.US,NA,NA
LTHM.US,Basic Materials,Specialty Chemicals
AKR.US,Real Estate,REIT—Retail
KDP.US,Consumer Defensive,Beverages—Non-Alcoholic
DSX_B.US,NA,NA
MBINN.US,Financial Services,Banks—Regional
UTHR.US,Healthcare,Biotechnology
WDFC.US,Basic Materials,Specialty Chemicals
MTRN.US,Basic Materials,Other Industrial Metals & Mining
XCUR.US,Healthcare,Biotechnology
BRZE.US,Technology,Software—Application
HSON.US,Industrials,Staffing & Employment Services
YUM.US,Consumer Cyclical,Restaurants
ZVZZT.US,NA,NA
NEP.US,Utilities,Utilities—Renewable
BHR_D.US,NA,NA
REXR.US,Real Estate,REIT—Industrial
RVMD.US,Healthcare,Biotechnology
MKSI.US,Technology,Scientific & Technical Instruments
OCGN.US,Healthcare,Biotechnology
RHI.US,Industrials,Staffing & Employment Services
SKT.US,Real Estate,REIT—Retail
FAST.US,Industrials,Industrial Distribution
MCD.US,Consumer Cyclical,Restaurants
GEN.US,Technology,Software—Infrastructure
SOPH.US,Healthcare,Health Information Services
MSOX.US,NA,NA
NXPL.US,Technology,Software—Application
CTRA.US,Energy,Oil & Gas E&P
CHRA.US,Industrials,Waste Management
JAGX.US,Healthcare,Biotechnology
MINDP.US,Technology,Scientific & Technical Instruments
STOK.US,Healthcare,Biotechnology
APGN.US,Healthcare,Biotechnology
IESC.US,Industrials,Engineering & Construction
OVV.US,Energy,Oil & Gas E&P
IDN.US,Technology,Software—Application
MFH.US,Financial Services,Capital Markets
LIAN.US,Healthcare,Biotechnology
SHYF.US,Industrials,Farm & Heavy Construction Machinery
HOUS.US,Real Estate,Real Estate Services
OPCH.US,Healthcare,Medical Care Facilities
BCPC.US,Basic Materials,Specialty Chemicals
DXPE.US,Industrials,Industrial Distribution
NAOV.US,Healthcare,Medical Devices
ATI.US,Industrials,Metal Fabrication
UAL.US,Industrials,Airlines
BEKE.US,Real Estate,Real Estate Services
NVNO.US,Healthcare,Medical Devices
EGP.US,Real Estate,REIT—Industrial
NSS.US,NA,NA
VTRU.US,Consumer Defensive,Education & Training Services
LXU.US,Basic Materials,Chemicals
TANH.US,Consumer Defensive,Household & Personal Products
SP.US,Industrials,Specialty Business Services
ORMP.US,Healthcare,Biotechnology
EPR.US,Real Estate,REIT—Specialty
GPS.US,Consumer Cyclical,Apparel Retail
AHL_D.US,NA,NA
ADD.US,Communication Services,Entertainment
MCY.US,Financial Services,Insurance—Property & Casualty
AMTB.US,Financial Services,Banks—Regional
RYTM.US,Healthcare,Biotechnology
DCP.US,Energy,Oil & Gas Midstream
ROG.US,Technology,Electronic Components
TKR.US,Industrials,Tools & Accessories
MAN.US,Industrials,Staffing & Employment Services
AMRC.US,Industrials,Engineering & Construction
CURO.US,Financial Services,Credit Services
VRDN.US,Healthcare,Biotechnology
GMDA.US,Healthcare,Biotechnology
JXJT.US,Consumer Cyclical,Apparel Manufacturing
TWO_B.US,NA,NA
TMUS.US,Communication Services,Telecom Services
ADM.US,Consumer Defensive,Farm Products
PSTV.US,Healthcare,Biotechnology
COUP.US,Technology,Software—Application
PHX.US,Energy,Oil & Gas E&P
CMTL.US,Technology,Communication Equipment
CLF.US,Basic Materials,Steel
ABBV.US,Healthcare,Drug Manufacturers—General
IKNA.US,Healthcare,Biotechnology
MNTV.US,Technology,Software—Application
NEON.US,Technology,Electronic Components
CADE.US,Financial Services,Banks—Regional
CRSR.US,Technology,Computer Hardware
PAYS.US,Technology,Software—Infrastructure
MET_A.US,NA,NA
PTGX.US,Healthcare,Biotechnology
EXEL.US,Healthcare,Biotechnology
YTEN.US,Basic Materials,Agricultural Inputs
TUSK.US,Industrials,Conglomerates
SNV.US,Financial Services,Banks—Regional
CNQ.US,Energy,Oil & Gas E&P
TARK.US,NA,NA
NBN.US,Financial Services,Banks—Regional
NSC.US,Industrials,Railroads
TNP_E.US,NA,NA
MEOH.US,Basic Materials,Chemicals
BURL.US,Consumer Cyclical,Apparel Retail
CNI.US,Industrials,Railroads
ARGD.US,NA,NA
GLNG.US,Energy,Oil & Gas Midstream
SPLP.US,Industrials,Conglomerates
TBBK.US,Financial Services,Banks—Regional
EVLO.US,Healthcare,Biotechnology
E.US,Energy,Oil & Gas Integrated
BLRX.US,Healthcare,Biotechnology
VERX.US,Technology,Software—Application
CAOS.US,NA,NA
CARV.US,Financial Services,Banks—Regional
MNPR.US,Healthcare,Biotechnology
TX.US,Basic Materials,Steel
AMOT.US,Technology,Electronic Components
BC_B.US,NA,NA
UCTT.US,Technology,Semiconductor Equipment & Materials
GTN.US,Communication Services,Broadcasting
UGI.US,Utilities,Utilities—Regulated Gas
FRC_H.US,NA,NA
O.US,Real Estate,REIT—Retail
EWBC.US,Financial Services,Banks—Diversified
EXP.US,Basic Materials,Building Materials
IR.US,Industrials,Specialty Industrial Machinery
FISK.US,Real Estate,REIT—Office
CPSH.US,Technology,Electronic Components
IDYA.US,Healthcare,Biotechnology
INDB.US,Financial Services,Banks—Regional
BLD.US,Industrials,Engineering & Construction
RUTH.US,Consumer Cyclical,Restaurants
DLR_L.US,NA,NA
TLK.US,Communication Services,Telecom Services
BG.US,Consumer Defensive,Farm Products
COHR.US,Technology,Scientific & Technical Instruments
JMIA.US,Consumer Cyclical,Internet Retail
RACE.US,Consumer Cyclical,Auto Manufacturers
SKY.US,Consumer Cyclical,Residential Construction
SMAR.US,Technology,Software—Application
BKDT.US,NA,NA
ACGN.US,Healthcare,Biotechnology
EMO.US,Financial Services,Asset Management
MSI.US,Technology,Communication Equipment
VRT.US,Industrials,Electrical Equipment & Parts
TTD.US,Technology,Software—Application
RUSHA.US,Consumer Cyclical,Auto & Truck Dealerships
MMSI.US,Healthcare,Medical Instruments & Supplies
NWN.US,Utilities,Utilities—Regulated Gas
NLY.US,Real Estate,REIT—Mortgage
VTNR.US,Energy,Oil & Gas Refining & Marketing
MDWD.US,Healthcare,Biotechnology
AORT.US,Healthcare,Medical Devices
ATAT.US,Consumer Cyclical,Lodging
INMB.US,Healthcare,Biotechnology
CHEF.US,Consumer Defensive,Food Distribution
LRCX.US,Technology,Semiconductor Equipment & Materials
MESA.US,Industrials,Airlines
VAL.US,Energy,Oil & Gas Equipment & Services
AMZN.US,Consumer Cyclical,Internet Retail
CHKEL.US,NA,NA
QUOT.US,Communication Services,Advertising Agencies
HZNP.US,Healthcare,Drug Manufacturers—General
FBIOP.US,Healthcare,Biotechnology
KMX.US,Consumer Cyclical,Auto & Truck Dealerships
AWK.US,Utilities,Utilities—Regulated Water
GER.US,Financial Services,Asset Management
BGSF.US,Industrials,Staffing & Employment Services
PACW.US,Financial Services,Banks—Regional
NSA.US,Real Estate,REIT—Industrial
DOCU.US,Technology,Software—Application
AMBA.US,Technology,Semiconductor Equipment & Materials
BABA.US,Consumer Cyclical,Internet Retail
BABX.US,NA,NA
KEY_K.US,NA,NA
RMAX.US,Real Estate,Real Estate Services
WFC_L.US,NA,NA
FRGI.US,Consumer Cyclical,Restaurants
PANW.US,Technology,Software—Infrastructure
EQT.US,Energy,Oil & Gas E&P
NETI.US,Industrials,Marine Shipping
PNT.US,Healthcare,Biotechnology
ADVM.US,Healthcare,Biotechnology
BML_G.US,NA,NA
TT.US,Industrials,Building Products & Equipment
DASH.US,Communication Services,Internet Content & Information
MITT_C.US,NA,NA
MKUL.US,Industrials,Pollution & Treatment Controls
CRBP.US,Healthcare,Biotechnology
HPE.US,Technology,Communication Equipment
TCBX.US,Financial Services,Banks—Regional
MEDP.US,Healthcare,Diagnostics & Research
TSLQ.US,NA,NA
CZR.US,Consumer Cyclical,Resorts & Casinos
DINO.US,Energy,Oil & Gas Refining & Marketing
ALLE.US,Industrials,Security & Protection Services
APH.US,Technology,Electronic Components
ATLC.US,Financial Services,Credit Services
PRAA.US,Financial Services,Credit Services
ATHM.US,Communication Services,Internet Content & Information
SCPL.US,Communication Services,Electronic Gaming & Multimedia
OBIO.US,Healthcare,Biotechnology
BRK-B.US,NA,NA
DIOD.US,Technology,Semiconductors
WAFDP.US,Financial Services,Banks—Regional
ALRS.US,Financial Services,Banks—Regional
MOLN.US,Healthcare,Biotechnology
SEE.US,Consumer Cyclical,Packaging & Containers
TSLI.US,NA,NA
DORM.US,Consumer Cyclical,Auto Parts
AAPL.US,Technology,Consumer Electronics
CVRX.US,Healthcare,Medical Devices
GILD.US,Healthcare,Drug Manufacturers—General
ADTN.US,Technology,Communication Equipment
SPRU.US,Technology,Solar
FANH.US,Financial Services,Insurance Brokers
DWAC.US,Financial Services,Shell Companies
AMP.US,Financial Services,Asset Management
IH.US,Consumer Defensive,Education & Training Services
MTTR.US,Technology,Software—Application
SSNC.US,Technology,Software—Application
HOG.US,Consumer Cyclical,Recreational Vehicles
WNC.US,Industrials,Farm & Heavy Construction Machinery
RCMT.US,Industrials,Conglomerates
SG.US,Consumer Cyclical,Restaurants
MGR.US,NA,NA
OOMA.US,Communication Services,Telecom Services
GLOB.US,Technology,Information Technology Services
IBOC.US,Financial Services,Banks—Regional
IGMS.US,Healthcare,Biotechnology
LIFE.US,Healthcare,Biotechnology
SSD.US,Basic Materials,Lumber & Wood Production
CNS.US,Financial Services,Asset Management
NAPA.US,Consumer Defensive,Beverages—Wineries & Distilleries
AAM_B.US,NA,NA
BGS.US,Consumer Defensive,Packaged Foods
FFIE.US,Consumer Cyclical,Auto Manufacturers
NEWR.US,Technology,Software—Infrastructure
NSYS.US,Healthcare,Medical Devices
BALY.US,Consumer Cyclical,Resorts & Casinos
VREX.US,Healthcare,Medical Devices
CALX.US,Technology,Software—Application
WEYS.US,Consumer Cyclical,Footwear & Accessories
INGN.US,Healthcare,Medical Devices
PCH.US,Real Estate,REIT—Specialty
MSA.US,Industrials,Security & Protection Services
YUMC.US,Consumer Cyclical,Restaurants
AXDX.US,Healthcare,Medical Devices
LITE.US,Technology,Communication Equipment
COFS.US,Financial Services,Banks—Regional
RADI.US,Communication Services,Telecom Services
VVI.US,Industrials,Specialty Business Services
SNDA.US,Healthcare,Medical Care Facilities
HFWA.US,Financial Services,Banks—Regional
KURA.US,Healthcare,Biotechnology
FRC_J.US,NA,NA
ARRY.US,Technology,Solar
OPAD.US,Real Estate,Real Estate Services
VXRT.US,Healthcare,Biotechnology
FN.US,Technology,Electronic Components
MED.US,Consumer Cyclical,Personal Services
TSVT.US,Healthcare,Biotechnology
MYFW.US,Financial Services,Banks—Regional
CHSCL.US,Consumer Defensive,Farm Products
LSXMK.US,Communication Services,Broadcasting
NOMD.US,Consumer Defensive,Packaged Foods
IMPL.US,Healthcare,Biotechnology
INDT.US,Real Estate,REIT—Industrial
JEF.US,Financial Services,Capital Markets
BLUE.US,Healthcare,Biotechnology
LGVN.US,Healthcare,Biotechnology
TCHI.US,NA,NA
GOVX.US,Healthcare,Biotechnology
AGCO.US,Industrials,Farm & Heavy Construction Machinery
NBTB.US,Financial Services,Banks—Regional
WYNN.US,Consumer Cyclical,Resorts & Casinos
BLZE.US,Technology,Software—Infrastructure
WRBY.US,Healthcare,Medical Instruments & Supplies
MMYT.US,Consumer Cyclical,Travel Services
BATRK.US,Communication Services,Entertainment
IBLC.US,NA,NA
LGO.US,Basic Materials,Other Industrial Metals & Mining
LTBR.US,Industrials,Electrical Equipment & Parts
TISI.US,Industrials,Specialty Business Services
COGT.US,Healthcare,Biotechnology
THRD.US,Healthcare,Biotechnology
XMTR.US,Industrials,Specialty Industrial Machinery
FMAO.US,Financial Services,Banks—Regional
BITS.US,NA,NA
YMM.US,Technology,Software—Application
VMC.US,Basic Materials,Building Materials
HFFG.US,Consumer Defensive,Food Distribution
SGEN.US,Healthcare,Biotechnology
VRAR.US,Technology,Software—Infrastructure
CCBG.US,Financial Services,Banks—Regional
ME.US,Healthcare,Diagnostics & Research
FSV.US,Real Estate,Real Estate Services
BCO.US,Industrials,Security & Protection Services
TSE.US,Basic Materials,Specialty Chemicals
AFGB.US,NA,NA
MNTS.US,Industrials,Aerospace & Defense
PYPL.US,Financial Services,Credit Services
UBP_K.US,NA,NA
LX.US,Financial Services,Credit Services
ATRO.US,Industrials,Aerospace & Defense
CTVA.US,Basic Materials,Agricultural Inputs
LILAK.US,Communication Services,Telecom Services
RGLS.US,Healthcare,Biotechnology
SLS.US,Healthcare,Biotechnology
EWCZ.US,Consumer Defensive,Household & Personal Products
DOV.US,Industrials,Specialty Industrial Machinery
MESO.US,Healthcare,Biotechnology
BKH.US,Utilities,Utilities—Diversified
NYAX.US,Technology,Information Technology Services
BCE.US,Communication Services,Telecom Services
PNW.US,Utilities,Utilities—Regulated Electric
PDCE.US,Energy,Oil & Gas E&P
AIG_A.US,NA,NA
AHG.US,Healthcare,Medical Distribution
TNDM.US,Healthcare,Medical Devices
VNCE.US,Consumer Cyclical,Apparel Manufacturing
IRTC.US,Healthcare,Medical Devices
BIIB.US,Healthcare,Drug Manufacturers—General
ACA.US,Industrials,Engineering & Construction
BHVN.US,Healthcare,Biotechnology
MFA_B.US,NA,NA
PDFS.US,Technology,Software—Application
AEHL.US,Industrials,Building Products & Equipment
SYM.US,Financial Services,Shell Companies
FNB_E.US,NA,NA
CCS.US,Consumer Cyclical,Residential Construction
SYBT.US,Financial Services,Banks—Regional
USOI.US,NA,NA
B.US,Industrials,Specialty Industrial Machinery
WTW.US,Financial Services,Insurance Brokers
WBS_F.US,NA,NA
UTF.US,Financial Services,Asset Management
HTZWW.US,NA,NA
GNL_B.US,NA,NA
INN_E.US,NA,NA
FSS.US,Industrials,Pollution & Treatment Controls
EQ.US,Healthcare,Biotechnology
DRIO.US,Healthcare,Diagnostics & Research
OMC.US,Communication Services,Advertising Agencies
MAA_I.US,NA,NA
ABT.US,Healthcare,Medical Devices
ALPN.US,Healthcare,Biotechnology
ENVX.US,Industrials,Electrical Equipment & Parts
JELD.US,Industrials,Building Products & Equipment
KB.US,Financial Services,Banks—Regional
LIND.US,Consumer Cyclical,Travel Services
RNA.US,Healthcare,Biotechnology
SCL.US,Basic Materials,Specialty Chemicals
TA.US,Consumer Cyclical,Specialty Retail
ON.US,Technology,Semiconductors
SAFE.US,Real Estate,REIT—Diversified
DUO.US,Real Estate,Real Estate Services
OLLI.US,Consumer Defensive,Discount Stores
TGT.US,Consumer Defensive,Discount Stores
VAC.US,Consumer Cyclical,Resorts & Casinos
VALE.US,Basic Materials,Other Industrial Metals & Mining
BJ.US,Consumer Defensive,Discount Stores
CNET.US,Communication Services,Advertising Agencies
JBI.US,Industrials,Building Products & Equipment
JPM.US,Financial Services,Banks—Diversified
TDCX.US,Industrials,Specialty Business Services
AC.US,Financial Services,Asset Management
HZO.US,Consumer Cyclical,Specialty Retail
GDEN.US,Consumer Cyclical,Resorts & Casinos
ISTR.US,Financial Services,Banks—Regional
ALGT.US,Industrials,Airlines
EXAI.US,Healthcare,Biotechnology
SHC.US,Healthcare,Diagnostics & Research
CGEN.US,Healthcare,Biotechnology
MU.US,Technology,Semiconductors
BCH.US,Financial Services,Banks—Regional
ATEN.US,Technology,Software—Infrastructure
LJAQ.US,NA,NA
NOAH.US,Financial Services,Asset Management
